        40     0.990     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        41     1.015     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        42     1.036     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        43     1.062     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        44     1.090     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        45     1.118     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        46     1.145     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        47     1.171     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        48     1.199     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        49     1.226     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        50     1.253     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        51     1.279     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        52     1.306     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        53     1.333     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        54     1.363     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        55     1.390     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        56     1.415     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        57     1.443     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        58     1.469     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
        59     1.493     42622   817.267     42622   817.267     47092   902.978     47091   902.959     16746   321.101     16746   321.101     26229   502.935     26230   502.954       150         0         0
