"event","experiment time","system time","system time text"
"START",0.000000000E0,1736945228.158,"2025-01-15 13:47:08.158 UTC+01:00"
"PAUSE",5.145134677E1,1736945279.609,"2025-01-15 13:47:59.609 UTC+01:00"
