Temps	EA1	Temps	EA2
0.0081	-1.28286683559418	0.0081	-0.363880810793489
0.0082	-1.3128988230601	0.0082	-0.348926812410355
0.0083	-1.34293081052601	0.0083	-0.338957480154932
0.0084	-1.36795746674761	0.0084	-0.324003481771797
0.0085	-1.38797879172489	0.0085	-0.309049483388662
0.0086	-1.41300544794649	0.0086	-0.294095485005528
0.0087	-1.43803210416809	0.0087	-0.279141486622393
0.0088	-1.46305876038969	0.0088	-0.264187488239259
0.0089	-1.48308008536696	0.0089	-0.249233489856124
0.009	-1.49809607909992	0.009	-0.229294825345278
0.0091	-1.51311207283288	0.0091	-0.214340826962143
0.0092	-1.53313339781016	0.0092	-0.199386828579009
0.0093	-1.54814939154312	0.0093	-0.179448164068162
0.0094	-1.55315472278744	0.0094	-0.159509499557316
0.0095	-1.56316538527608	0.0095	-0.144555501174182
0.0096	-1.57317604776472	0.0096	-0.129601502791047
0.0097	-1.57818137900904	0.0097	-0.109662838280201
0.0098	-1.58318671025336	0.0098	-0.0947088398970664
0.0099	-1.58318671025336	0.0099	-0.0747701753862202
0.01	-1.58819204149768	0.01	-0.0548315108753741
0.0101	-1.593197372742	0.0101	-0.0398775124922395
0.0102	-1.60320803523064	0.0102	-0.0199388479813933
0.0103	-1.61321869771928	0.0103	-0.00498484959825873
0.0104	-1.6182240289636	0.0104	0.0149538149125874
0.0105	-1.62823469145223	0.0105	0.0348924794234335
0.0106	-1.64325068518519	0.0106	0.0498464778065681
0.0107	-1.65326134767383	0.0107	0.0697851423174143
0.0108	-1.66827734140679	0.0108	0.0897238068282604
0.0109	-1.68329333513975	0.0109	0.104677805211395
0.011	-1.69830932887271	0.011	0.124616469722241
0.0111	-1.72333598509431	0.0111	0.144555134233087
0.0112	-1.74335731007159	0.0112	0.159509132616222
0.0113	-1.76838396629319	0.0113	0.179447797127068
0.0114	-1.7984159537591	0.0114	0.199386461637914
0.0115	-1.83345327246934	0.0115	0.214340460021049
0.0116	-1.86849059117958	0.0116	0.234279124531895
0.0117	-1.90853324113414	0.0117	0.254217789042741
0.0118	-1.95858655357733	0.0118	0.269171787425876
0.0119	-2.00363453477621	0.0119	0.28412578580901
0.012	-2.06369850970805	0.012	0.304064450319856
0.0121	-2.12376248463988	0.0121	0.319018448702991
0.0122	-2.19383712206036	0.0122	0.338957113213837
0.0123	-2.25890642823651	0.0123	0.353911111596972
0.0124	-2.33899172814563	0.0124	0.373849776107818
0.0125	-2.41907702805474	0.0125	0.388803774490952
0.0126	-2.51918365294114	0.0126	0.403757772874087
0.0127	-2.60927961533889	0.0127	0.418711771257222
0.0128	-2.71939690271392	0.0128	0.433665769640356
0.0129	-2.84453018382192	0.0129	0.443635101895779
0.013	-2.99469012115151	0.013	0.458589100278914
0.0131	-3.17988737719133	0.0131	0.468558432534337
0.0132	-3.39011128945276	0.0132	0.47852776478976
0.0133	-3.65038851415738	0.0133	0.493481763172895
0.0134	-3.95571372006088	0.0134	0.498466429300606
0.0135	-4.33111356338486	0.0135	0.513420427683741
0.0136	-4.77658804412931	0.0136	0.518405093811452
0.0137	-5.29213716229424	0.0137	0.523389759939164
0.0138	-5.85773959290236	0.0138	0.528374426066875
0.0139	-6.42834735475481	0.0139	0.533359092194587
0.014	-6.95390713540837	0.014	0.533359092194587
0.0141	-7.33431230997667	0.0141	0.538343758322299
0.0142	-7.53452555974945	0.0142	0.538343758322299
0.0143	-7.55955221597105	0.0143	0.54332842445001
0.0144	-7.41439760988578	0.0144	0.538343758322299
0.0145	-7.14410972269252	0.0145	0.538343758322299
0.0146	-6.77371521061286	0.0146	0.54332842445001
0.0147	-6.33324606111273	0.0147	0.538343758322299
0.0148	-5.867750255391	0.0148	0.538343758322299
0.0149	-5.36721713095903	0.0149	0.538343758322299
0.015	-4.86167867528275	0.015	0.538343758322299
0.0151	-4.35113488836214	0.0151	0.538343758322299
0.0152	-3.84059110144153	0.0152	0.533359092194587
0.0153	-3.34005797700956	0.0153	0.533359092194587
0.0154	-2.84453018382192	0.0154	0.533359092194587
0.0155	-2.37402904685587	0.0155	0.533359092194587
0.0156	-1.91353857237846	0.0156	0.528374426066875
0.0157	-1.4930907478556	0.0157	0.528374426066875
0.0158	-1.10267491079867	0.0158	0.523389759939164
0.0159	-0.762312386184931	0.0159	0.518405093811452
0.016	-0.46199251152575	0.016	0.523389759939164
0.0161	-0.211725949309766	0.0161	0.518405093811452
0.0162	0.00350329419597983	0.0162	0.513420427683741
0.0163	0.178689887747169	0.0163	0.508435761556029
0.0164	0.323844493832439	0.0164	0.503451095428318
0.0165	0.443972443696111	0.0165	0.503451095428318
0.0166	0.539073737338185	0.0166	0.493481763172895
0.0167	0.62916969973594	0.0167	0.493481763172895
0.0168	0.699244337156415	0.0168	0.483512430917472
0.0169	0.76931897457689	0.0169	0.47852776478976
0.017	0.829382949508727	0.017	0.473543098662049
0.0171	0.884441593196243	0.0171	0.463573766406626
0.0172	0.93449490563944	0.0172	0.458589100278914
0.0173	0.989553549326956	0.0173	0.453604434151202
0.0174	1.03960686177015	0.0174	0.443635101895779
0.0175	1.08465484296903	0.0175	0.433665769640356
0.0176	1.12469749292359	0.0176	0.423696437384933
0.0177	1.16474014287814	0.0177	0.41372710512951
0.0178	1.19977746158838	0.0178	0.403757772874087
0.0179	1.2298094490543	0.0179	0.388803774490952
0.018	1.25984143652022	0.018	0.378834442235529
0.0181	1.28987342398614	0.0181	0.363880443852395
0.0182	1.31490008020774	0.0182	0.353911111596972
0.0183	1.33992673642933	0.0183	0.338957113213837
0.0184	1.36995872389525	0.0184	0.324003114830703
0.0185	1.39498538011685	0.0185	0.309049116447568
0.0186	1.42001203633845	0.0186	0.294095118064433
0.0187	1.44503869256005	0.0187	0.28412578580901
0.0188	1.46506001753733	0.0188	0.264187121298164
0.0189	1.4850813425146	0.0189	0.24923312291503
0.019	1.5101079987362	0.019	0.234279124531895
0.0191	1.52512399246916	0.0191	0.21932512614876
0.0192	1.5351346549578	0.0192	0.199386461637914
0.0193	1.55015064869076	0.0193	0.18443246325478
0.0194	1.55515597993508	0.0194	0.164493798743933
0.0195	1.57017197366804	0.0195	0.149539800360799
0.0196	1.57517730491236	0.0196	0.129601135849953
0.0197	1.58018263615668	0.0197	0.114647137466818
0.0198	1.585187967401	0.0198	0.094708472955972
0.0199	1.59019329864532	0.0199	0.0747698084451258
