14393	266511.00
14488	266551.00
14583	266606.00
14678	267221.00
14773	268602.00
14867	269874.00
14962	270701.00
15057	271226.00
15152	271608.00
15247	271856.00
15341	272414.00
15436	273141.00
15531	273019.00
15626	272843.00
15720	272812.00
15815	272451.00
15909	272425.00
16005	273018.00
16100	273680.00
16194	273975.00
16289	273750.00
16384	273424.00
16479	273661.00
16573	274246.00
16668	274234.00
16762	273715.00
16858	273506.00
16952	273591.00
17047	273822.00
17141	273705.00
17236	273413.00
17332	272930.00
17426	272718.00
17521	273222.00
17615	273468.00
17711	273704.00
17805	273645.00
17900	273195.00
17994	273359.00
18089	273707.00
18184	273605.00
18279	273253.00
18373	273069.00
18468	273196.00
18564	273980.00
18658	274827.00
18753	274967.00
18847	274565.00
18942	274333.00
19037	274190.00
