16340.00	1300.00	8388607.00
16342.00	1300.00	8388607.00
16379.00	1300.00	8388607.00
16475.00	1300.00	4267143.00
16569.00	1300.00	323191.00
16664.00	1300.00	238051.00
16758.00	1300.00	238210.00
16854.00	1300.00	238425.00
16948.00	1300.00	238564.00
17043.00	1300.00	238712.00
17137.00	1300.00	238936.00
17232.00	1300.00	239180.00
17328.00	1300.00	239423.00
17422.00	1300.00	239612.00
17517.00	1300.00	239791.00
17611.00	1300.00	239902.00
17707.00	1300.00	239936.00
17801.00	1300.00	239844.00
17896.00	1300.00	239625.00
17990.00	1300.00	239373.00
18085.00	1300.00	239779.00
18180.00	1300.00	240840.00
18275.00	1300.00	240809.00
18369.00	1300.00	240273.00
18464.00	1300.00	240267.00
18558.00	1500.00	239993.00
18654.00	1500.00	233055.00
18749.00	1500.00	191639.00
18843.00	1500.00	141468.00
18938.00	1500.00	120258.00
19033.00	1500.00	114490.00
19128.00	1500.00	113586.00
19222.00	1500.00	113326.00
19317.00	1500.00	114243.00
19411.00	1500.00	115848.00
19507.00	1500.00	117151.00
19601.00	1500.00	117917.00
19696.00	1500.00	118374.00
19790.00	1500.00	117544.00
19886.00	1500.00	116879.00
19981.00	1500.00	116893.00
20075.00	1500.00	117772.00
20170.00	1500.00	120530.00
20264.00	1500.00	117664.00
20360.00	1500.00	118192.00
20454.00	1500.00	118752.00
20549.00	1500.00	118430.00
20643.00	1500.00	118426.00
20739.00	1500.00	117705.00
20833.00	1500.00	116750.00
20928.00	1500.00	117935.00
21022.00	1500.00	117206.00
21117.00	1500.00	116041.00
21213.00	1500.00	116139.00
21307.00	1500.00	118159.00
21402.00	1500.00	121351.00
21496.00	1500.00	123489.00
21592.00	1500.00	120258.00
21686.00	1500.00	118901.00
21781.00	1500.00	119677.00
21875.00	1500.00	119287.00
21970.00	1500.00	118468.00
22065.00	1500.00	118605.00
22160.00	1500.00	118986.00
22254.00	1500.00	118286.00
22349.00	1500.00	116776.00
22444.00	1500.00	117886.00
22539.00	1500.00	117498.00
22634.00	1500.00	118183.00
22728.00	1500.00	118788.00
22823.00	1500.00	118558.00
22918.00	1500.00	117892.00
23013.00	1500.00	116820.00
23107.00	1500.00	116561.00
23202.00	1500.00	117425.00
