253610.00	1250
246804.00	1260
242937.00	1270
236669.00	1280
233246.00	1290
227670.00	1300
222417.00	1310
216802.00	1320
212193.00	1330
205093.00	1340
198961.00	1350
191232.00	1360
187952.00	1370
181207.00	1380
175803.00	1390
159677.00	1400
163557.00	1410
127040.00	1420
93993.00	1430
189786.00	1440
138656.00	1450
129311.00	1460
126063.00	1470
-2044.00	1480
-557454.00	1490
104665.00	1500
95618.00	1510
83900.00	1520
58531.00	1530
83704.00	1540
54448.00	1550
40182.00	1560
34367.00	1570
23775.00	1580
13746.00	1590
2111.00	1600
-6189.00	1610
-15802.00	1620
25110.00	1630
-35901.00	1640
-203841.00	1650
-56071.00	1660
-63978.00	1670
-71640.00	1680
-81072.00	1690
-89186.00	1700
-96952.00	1710
-104950.00	1720
-114623.00	1730
-121175.00	1740
-128028.00	1750
-124939.00	1770
-123389.00	1780
-122210.00	1790
-120670.00	1800
-119505.00	1810
-118048.00	1820
-116761.00	1830
-115625.00	1840
-115324.00	1850
-114553.00	1860
-113728.00	1870
-112236.00	1880
-112324.00	1890
-111031.00	1900
-111084.00	1910
-109644.00	1920
-110774.00	1930
-110333.00	1940
-108819.00	1950
-108307.00	1960
-115570.00	1970
-88297.00	1980
-101640.00	1990
-155329.00	2000
